Interno,Descripcion,"Precio Lista (c/IVA)","Stock Total"
501751,"265/65/17 ONYX 112T AT187",120000,0
632,"265/65/17 YOMAR TIRE 112T SKYRACE AT08",118000,1
696,"215/50/18 YOMAR TIRE 92V SKYRACE P03",0,0
691,"215/55/18 YOMAR TIRE 99W XL SKYRACE P03",85000,6
506112,"225/55/18 WANLI 98V SU025",95000,1
625,"225/60/18 YOMAR TIRE 102W XL SKYRACE P03",90000,8
645,"225/60/18 YOMAR TIRE 104V XL SKYRACE P03",85000,8
693,"235/55/18 YOMAR TIRES 104W XL SKYRACE P06",99000,8
508,"235/60/18 MINNELL 107V SAFY M06",94000,1
628,"235/60/18 YOMAR TIRE 107V XL SKYRACE",95000,8
675,"245/40/18 YOMAR TIRE 97W SKYRACE P06",0,0
690,"245/60/18 YOMAR TIRE 105V SKYRACE P05",112000,4
504536,"265/60/18 MINNELL 110H GIANTIRE AT88",125000,0
631,"265/60/18 YOMAR TIRE 110H AT SKYRACE AT08",125000,8
709,"225/45/19 YOMAR TIRES 96W SKYRACE P06",0,0
672,"225/55/19 YOMAR TIRE 99V SKYRACE P06",105000,4
647,"235/45/19 YOMAR TIRE 99W SKYRACE",0,0
710,"235/50/19 YOMAR TIRES 103W SKYRACE P06",115000,2
648,"235/55/19 YOMAR TIRE 105W SKYRACE P06",0,0
711,"245/45/19 YOMAR TIRE 102W XL SKYRACE P06",115000,4
714,"255/55/19 YOMAR TIRE 111W SKYRACE P06",0,0
712,"245/45/20 YOMAR TIRE 103W SKYRACE P06",130000,4
713,"245/50/20 YOMAR TIRE 102W SKYRACE P06",175000,4
650,"255/55/20 YOMAR TIRE 110W SKYRACE P06",0,0
715,"265/50/20 YOMAR TIRE 107V SKYRACE P06",190000,4
716,"275/45/20 YOMAR TIRE 110W SKYRACE P06",149000,4
717,"275/50/20 YOMAR TIRE 113W SKYRACE P06",180000,4
718,"275/55/20 MINNELL 117W SAFYM06",0,0
